"ZE1 0AA",10,447759,1141280,"S92000003","","S08000026","","S12000027","S13002777"
"YO1 0EB",10,459652,451975,"E92000001","E19000001","E18000003","","E06000014","E05010325"
"WV1 1AA",10,392309,298969,"E92000001","E19000001","E18000005","","E08000031","E05014848"
"WS1 1AA",10,401365,298688,"E92000001","E19000001","E18000005","","E08000030","E05001316"
"WR1 1AA",10,385268,255404,"E92000001","E19000001","E18000005","E10000034","E07000237","E05015854"
"WN1 1AA",10,358016,405780,"E92000001","E19000001","E18000002","","E08000010","E05015010"
"WF1 1AA",10,433063,420450,"E92000001","E19000001","E18000003","","E08000036","E05001460"
"WD17 1AA",10,510867,196557,"E92000001","E19000001","E18000006","E10000015","E07000103","E05011047"
"WC1A 1AB",10,530185,181405,"E92000001","E19000003","E18000007","","E09000007","E05013662"
"WA1 1AF",10,360240,387888,"E92000001","E19000001","E18000002","","E06000007","E05011025"
"W10 4AA",10,523858,182637,"E92000001","E19000003","E18000007","","E09000033","E05013804"
"UB1 1AL",10,512039,179977,"E92000001","E19000003","E18000007","","E09000009","E05013539"
"TW1 1AA",10,516008,173697,"E92000001","E19000003","E18000007","","E09000027","E05013789"
"TS1 1AA",10,448907,520333,"E92000001","E19000001","E18000001","","E06000002","E05009866"
"TR1 1AU",10,183840,45072,"E92000001","E19000002","E18000010","","E06000052","E05013356"
"TQ1 1AG",10,291811,63690,"E92000001","E19000002","E18000010","","E06000027","E05012268"
"TN1 1AB",10,558308,138985,"E92000001","E19000002","E18000008","E10000016","E07000116","E05015804"
"TF1 1AA",10,364968,311472,"E92000001","E19000001","E18000005","","E06000020","E05015218"
"TD12 4FH",10,382551,638664,"E92000001","E19000001","E18000001","","E06000057","E05009158"
"TA1 1AD",10,322376,124800,"E92000001","E19000002","E18000010","","E06000066","E05014339"
"SY1 1AA",10,349490,313095,"E92000001","E19000001","E18000005","","E06000051","E05008180"
"SW10 0AB",10,526275,177037,"E92000001","E19000003","E18000007","","E09000020","E05009391"
"ST1 1AF",10,388405,347542,"E92000001","E19000001","E18000005","","E06000021","E05014567"
"SS0 0AA",10,585746,187079,"E92000001","E19000001","E18000006","","E06000033","E05002213"
"SR1 1AE",10,440075,556873,"E92000001","E19000001","E18000001","","E08000024","E05001158"
"SP1 1AD",10,416239,130578,"E92000001","E19000002","E18000010","","E06000054","E05013439"
"SO14 0AA",10,442294,112126,"E92000001","E19000002","E18000009","","E06000045","E05015491"
"SN1 1AE",10,415123,185157,"E92000001","E19000002","E18000010","","E06000030","E05008954"
"SM1 1AA",10,525899,163844,"E92000001","E19000003","E18000007","","E09000029","E05013765"
"SL0 0AA",10,503627,181366,"E92000001","E19000002","E18000009","","E06000060","E05013150"
"SK1 1AL",10,389430,390344,"E92000001","E19000001","E18000002","","E08000007","E05015018"
"SG1 1AA",10,523746,223474,"E92000001","E19000001","E18000006","E10000015","E07000243","E05015632"
"SE1 0AA",10,531860,179460,"E92000001","E19000003","E18000007","","E09000028","E05011114"
"SA1 1AA",10,267010,196107,"W92000004","","W11000031","","W06000011","W05001052"
"S1 1AD",10,435310,387623,"E92000001","E19000001","E18000003","","E08000019","E05010862"
"RM1 1AA",50,551035,188774,"E92000001","E19000003","E18000007","","E09000016","E05013983"
"RH1 1AQ",10,528289,150797,"E92000001","E19000002","E18000008","E10000030","E07000211","E05012882"
