AL1 1AA
BB0 1GR
BA1 0AA
BA3 1AA
BB0 1GR
BD1 1AA
BH1 1AA
BH151AA
BL0 0AA
BN1 1AA
BN8 4AA
BR1 1AA
BS1 1AA
CA1 1AA
CB1 0AA
CB5 0AA
CF1 1AA
CH1 1AA
CM0 7AA
CM164AA
CM5 0AA
CM776AA
CM7 0AA
CO7 0AA
CO3 0AA
CR0 0AA
CR2 0AA
CT154AA
CT3 1AA
CT4 5AA
CV1 1AA
CW1 1AA
DA1 1AA
DA3 7AA
DE1 0AA
DH1 1AA
DL1 1AA
DL6 2LW
DN104AA
DN1 1AA
DT1 1AA
DY1 1AA
EC1A1AA
EC1A1AA
EN1 1AA
EN4 0AA
EX1 1AA
FY0 1BR
GL1 1AA
GL1 1AA
GL7 1AA
GL9 1AA
GU1 1AA
GU1 1AA
GU185AA
GU205AA
GU254AA
GU271AA
GU511AA
GU9 7SP
HA0 1AA
HD1 1AA
HG1 1AA
HP1 1AA
HP270AA
HP3 0AB
HR1 1AA
HU1 1AA
HX1 1AA
IG1 1AA
IG1 1AA
IP1 1AA
IP155AA
KT100AA
KT1 1AA
KT185AA
KT211AA
KT4 7AA
LA1 1AA
LA1 1AA
LE1 1AA
LL110AA
LN1 1AA
LS1 1AA
LU1 1AA
LU5 4AA
M1  1AA
ME1 1AA
MK1 1AA
MK180AG
N1  0AA
N2  0AA
NE1 1AA
NG1 1AA
NN1 1AA
NP1 0AA
NR1 1AA
NW1 0AA
OL1 1AA
OX1 1AA
OX141AA
PE1 1AA
PL1 1AA
PO1 1AA
PR1 0AA
RG1 1AA
RH1 1AA
RM1 1AA
S1  1AA
S6 1AG
SA1 1AA
SE1 0AA
SK1 1AA
SL1 0AA
SN1 1AA
SO1 0AA
SP1 1AA
SR1 1AA
SS1 1AA
ST1 1AA
SY1 1AA
TA1 1AA
TN1 1AA
TR1 1AA
TS1 1AA
TW1 1AA
UB1 1AA
W1A 0BA
WA1 1AA
WC1A1AA
WD1 1AA
WF1 1AA
WN1 1AA
WR1 1AA
WS1 1AA
WV1 1AA
YO1 0AA
